Date : 2024-07-20 01:06:24
Directory : /home/copi143/代码/Plant-OS
Total : 4976 files,  1440650 codes, 334737 comments, 246939 blanks, all 2022326 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/copi143/代码/Plant-OS/apps/nasm-master/include/stdlib.h                                        | C              |         29 |          3 |          1 |         33 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/include/string.h                                        | C              |         30 |          2 |          0 |         32 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/include/strlist.h                                       | C              |         50 |         35 |          9 |         94 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/include/sys/types.h                                     | C              |         84 |          0 |         11 |         95 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/include/syscall.h                                       | C              |        112 |          3 |          1 |        116 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/include/tables.h                                        | C              |         21 |         45 |         12 |         78 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/include/time.h                                          | C              |         33 |          0 |          2 |         35 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/include/trees.h                                         | C              |        120 |          1 |          8 |        129 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/include/utf.h                                           | C              |         58 |          1 |         12 |         71 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/include/ver.h                                           | C              |         12 |         35 |          9 |         56 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/include/warnings.h                                      | C              |        125 |          0 |          7 |        132 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/include/zconf.h                                         | C              |        438 |         62 |         46 |        546 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/include/zlib.h                                          | C              |        313 |      1,497 |        129 |      1,939 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/include/zutil.h                                         | C              |        200 |         30 |         46 |        276 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/macros/macros.c                                         | C              |        817 |         34 |         25 |        876 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/macros/macros.pl                                        | Perl           |        236 |         49 |         27 |        312 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/makefile                                                | Makefile       |        370 |         76 |        104 |        550 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/misc/crcgen.c                                           | C              |         37 |          1 |          7 |         45 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/misc/emacstbl.pl                                        | Perl           |        160 |          9 |         47 |        216 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/misc/fmtinsns.pl                                        | Perl           |         34 |          4 |          3 |         41 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/misc/genfma.pl                                          | Perl           |         59 |          1 |          4 |         64 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/misc/omfdump.c                                          | C              |        417 |         17 |         83 |        517 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/misc/pmw.bat                                            | Batch          |          5 |          4 |          1 |         10 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/misc/xcrcgen.c                                          | C              |         60 |          4 |         16 |         80 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/alloc.c                                         | C              |        126 |         42 |         30 |        198 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/alloc.h                                         | C              |         12 |         32 |          7 |         51 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/asprintf.c                                      | C              |         39 |         43 |         13 |         95 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/badenum.c                                       | C              |          7 |         33 |          4 |         44 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/bsi.c                                           | C              |         32 |         38 |          7 |         77 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/crc32.c                                         | C              |         78 |         32 |          6 |        116 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/crc64.c                                         | C              |        161 |         32 |         15 |        208 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/errfile.c                                       | C              |          2 |          0 |          3 |          5 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/file.c                                          | C              |        145 |         67 |         46 |        258 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/file.h                                          | C              |        143 |         59 |         33 |        235 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/filename.c                                      | C              |         16 |         40 |          8 |         64 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/hashtbl.c                                       | C              |        156 |        100 |         32 |        288 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/ilog2.c                                         | C              |          2 |          0 |          1 |          3 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/md5c.c                                          | C              |        161 |         52 |         34 |        247 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/mmap.c                                          | C              |         66 |         49 |         25 |        140 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/nctype.c                                        | C              |         56 |         41 |         20 |        117 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/path.c                                          | C              |        100 |         65 |         22 |        187 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/perfhash.c                                      | C              |         17 |         32 |          7 |         56 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/perfhash.pl                                     | Perl           |        245 |         72 |         41 |        358 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/raa.c                                           | C              |        111 |         56 |         32 |        199 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/rbtree.c                                        | C              |        153 |         69 |         38 |        260 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/readnum.c                                       | C              |         92 |         64 |         24 |        180 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/realpath.c                                      | C              |          7 |         35 |          6 |         48 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/rlimit.c                                        | C              |         35 |         32 |         12 |         79 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/saa.c                                           | C              |        272 |         44 |         68 |        384 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/string.c                                        | C              |        140 |         55 |         30 |        225 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/strlist.c                                       | C              |        110 |         63 |         35 |        208 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/ver.c                                           | C              |         35 |         36 |         10 |         81 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nasmlib/zerobuf.c                                       | C              |          3 |         36 |          4 |         43 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/nsis/getpearch.pl                                       | Perl           |         58 |          8 |         11 |         77 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/output/codeview.c                                       | C              |        598 |         72 |        151 |        821 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/output/dwarf.h                                          | C              |        540 |         47 |         35 |        622 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/output/elf.h                                            | C              |        420 |         79 |         59 |        558 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/output/legacy.c                                         | C              |         58 |         53 |         12 |        123 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/output/macho.h                                          | C              |        206 |         44 |         33 |        283 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/output/nulldbg.c                                        | C              |         54 |         32 |         11 |         97 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/output/nullout.c                                        | C              |         22 |         33 |          6 |         61 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/output/outaout.c                                        | C              |        662 |        166 |         96 |        924 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/output/outas86.c                                        | C              |        460 |         84 |         68 |        612 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/output/outbin.c                                         | C              |      1,238 |        260 |        172 |      1,670 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/output/outcoff.c                                        | C              |      1,032 |        232 |        173 |      1,437 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/output/outdbg.c                                         | C              |        465 |         45 |         67 |        577 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/output/outelf.c                                         | C              |      2,912 |        377 |        384 |      3,673 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/output/outelf.h                                         | C              |         75 |         43 |         16 |        134 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/output/outform.c                                        | C              |         76 |         42 |         18 |        136 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/output/outform.h                                        | C              |        244 |         85 |         26 |        355 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/output/outieee.c                                        | C              |      1,101 |        307 |        114 |      1,522 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/output/outlib.c                                         | C              |        192 |         85 |         48 |        325 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/output/outlib.h                                         | C              |        173 |        104 |         37 |        314 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/output/outmacho.c                                       | C              |      1,700 |        332 |        380 |      2,412 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/output/outobj.c                                         | C              |      1,936 |        533 |        233 |      2,702 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/output/pecoff.h                                         | C              |        391 |        109 |         43 |        543 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/output/stabs.h                                          | C              |        109 |         34 |          8 |        151 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/perllib/gensv.pl                                        | Perl           |         21 |          5 |          9 |         35 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/stdlib/snprintf.c                                       | C              |         13 |          5 |          9 |         27 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/stdlib/strlcpy.c                                        | C              |         22 |         22 |          8 |         52 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/stdlib/strnlen.c                                        | C              |          8 |         32 |          6 |         46 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/stdlib/strrchrnul.c                                     | C              |         11 |         32 |          7 |         50 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/stdlib/vsnprintf.c                                      | C              |         28 |          6 |         13 |         47 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/Makefile                                           | Makefile       |         75 |          6 |         33 |        114 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/_file_.asm                                         | Assembler file |          5 |          0 |          1 |          6 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/_version.asm                                       | Assembler file |          2 |          0 |          1 |          3 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/a32offs.asm                                        | Assembler file |          8 |          0 |          2 |         10 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/a64.asm                                            | Assembler file |         22 |          0 |          1 |         23 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/absolute.asm                                       | Assembler file |         39 |          0 |          3 |         42 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/addr64x.asm                                        | Assembler file |         18 |          0 |          1 |         19 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/align13.asm                                        | Assembler file |         16 |          0 |          4 |         20 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/align13s.asm                                       | Assembler file |         16 |          0 |          5 |         21 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/alonesym-obj.asm                                   | Assembler file |        162 |          0 |          5 |        167 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/amx.asm                                            | Assembler file |         27 |          0 |         10 |         37 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/andbyte.asm                                        | Assembler file |         13 |          0 |          3 |         16 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/aoutso.asm                                         | Assembler file |         86 |          0 |         14 |        100 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/aouttest.asm                                       | Assembler file |         73 |          0 |         14 |         87 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/aouttest.c                                         | C              |         21 |          7 |          9 |         37 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/avx.asm                                            | Assembler file |         39 |          0 |          8 |         47 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/avx005.asm                                         | Assembler file |        403 |          0 |        127 |        530 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/avx2.asm                                           | Assembler file |      1,597 |          0 |         12 |      1,609 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/avx512cd.asm                                       | Assembler file |        102 |          0 |          5 |        107 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/avx512er.asm                                       | Assembler file |        140 |          0 |          5 |        145 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/avx512f.asm                                        | Assembler file |      6,996 |          0 |          5 |      7,001 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/avx512pf.asm                                       | Assembler file |         84 |          0 |          5 |         89 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/bcd.asm                                            | Assembler file |         21 |          0 |          3 |         24 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/binexe.asm                                         | Assembler file |         25 |          0 |         11 |         36 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/binoverflow.asm                                    | Assembler file |         27 |          0 |         11 |         38 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/bintest.asm                                        | Assembler file |         47 |          0 |         13 |         60 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/bisect.sh                                          | Shell Script   |          6 |          9 |          8 |         23 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br1879590.asm                                      | Assembler file |         20 |          0 |          6 |         26 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br2003451.asm                                      | Assembler file |         12 |          0 |          6 |         18 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br2030823.asm                                      | Assembler file |          6 |          0 |          2 |          8 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br2148476.asm                                      | Assembler file |        182 |          0 |         40 |        222 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br2222615.asm                                      | Assembler file |         15 |          0 |          5 |         20 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br2496848.asm                                      | Assembler file |         31 |          0 |         12 |         43 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3005117.asm                                      | Assembler file |         21 |          0 |          6 |         27 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3026808.asm                                      | Assembler file |         15 |          0 |          6 |         21 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3028880.asm                                      | Assembler file |          5 |          0 |          4 |          9 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3041451.asm                                      | Assembler file |         52 |          0 |          8 |         60 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3058845.asm                                      | Assembler file |         11 |          0 |          4 |         15 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3066383.asm                                      | Assembler file |         59 |          0 |         12 |         71 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3074517.asm                                      | Assembler file |         10 |          0 |          3 |         13 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3092924.asm                                      | Assembler file |         18 |          0 |          8 |         26 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3104312.asm                                      | Assembler file |         10 |          0 |          2 |         12 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3109604.asm                                      | Assembler file |          7 |          0 |          3 |         10 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3174983.asm                                      | Assembler file |          7 |          0 |          3 |         10 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3187743.asm                                      | Assembler file |          5 |          0 |          3 |          8 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3189064.asm                                      | Assembler file |          6 |          0 |          2 |          8 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3200749.asm                                      | Assembler file |          7 |          0 |          3 |         10 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3385573.asm                                      | Assembler file |         10 |          0 |          2 |         12 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3392252.asm                                      | Assembler file |         32 |          0 |         12 |         44 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3392259.asm                                      | Assembler file |          7 |          0 |          2 |          9 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3392363.asm                                      | Assembler file |          4 |          0 |          1 |          5 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3392392.asm                                      | Assembler file |         15 |          0 |          2 |         17 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3392396.asm                                      | Assembler file |          5 |          0 |          1 |          6 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3392411.asm                                      | Assembler file |         15 |          0 |          8 |         23 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3392418.asm                                      | Assembler file |          2 |          0 |          2 |          4 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3392439.asm                                      | Assembler file |         19 |          0 |          7 |         26 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3392442.asm                                      | Assembler file |          5 |          0 |          2 |          7 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3392472.asm                                      | Assembler file |         11 |          0 |          2 |         13 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3392538.asm                                      | Assembler file |         23 |          0 |          5 |         28 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3392586.asm                                      | Assembler file |          8 |          0 |          1 |          9 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3392607.asm                                      | Assembler file |          2 |          0 |          1 |          3 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3392626.asm                                      | Assembler file |          6 |          0 |          1 |          7 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3392640.asm                                      | Assembler file |          4 |          0 |          1 |          5 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3392660.asm                                      | Assembler file |          8 |          0 |          2 |         10 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3392661.asm                                      | Assembler file |          6 |          0 |          3 |          9 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3392667.asm                                      | Assembler file |         11 |          0 |          5 |         16 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3392668-3.asm                                    | Assembler file |      1,991 |          0 |        447 |      2,438 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3392669-57.asm                                   | Assembler file |        119 |          0 |         39 |        158 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3392707.asm                                      | Assembler file |         18 |          0 |          4 |         22 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br3392708.asm                                      | Assembler file |         13 |          0 |          5 |         18 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br560575.asm                                       | Assembler file |         15 |          0 |          2 |         17 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br890790.asm                                       | Assembler file |          6 |          0 |          2 |          8 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br890790_i.asm                                     | Assembler file |          1 |          0 |          1 |          2 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/br978756.asm                                       | Assembler file |          7 |          0 |          1 |          8 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/changed.asm                                        | Assembler file |        334 |          0 |         50 |        384 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/clzero.asm                                         | Assembler file |         21 |          0 |          6 |         27 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/coffalign.asm                                      | Assembler file |         15 |          0 |          3 |         18 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/cofftest.asm                                       | Assembler file |         72 |          0 |         14 |         86 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/cofftest.c                                         | C              |         21 |          6 |          9 |         36 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/crc32.asm                                          | Assembler file |         31 |          0 |          7 |         38 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/ctxlocal.asm                                       | Assembler file |         21 |          0 |          5 |         26 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/cv8struc.asm                                       | Assembler file |         12 |          0 |          3 |         15 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/defalias.asm                                       | Assembler file |         45 |          0 |          8 |         53 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/dtbcd.asm                                          | Assembler file |         70 |          0 |          3 |         73 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/dup.asm                                            | Assembler file |         30 |          0 |          7 |         37 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/elf64so.asm                                        | Assembler file |        105 |          0 |         14 |        119 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/elf_visibility.asm                                 | Assembler file |         27 |          0 |          4 |         31 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/elfso.asm                                          | Assembler file |         87 |          0 |         14 |        101 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/elftest.asm                                        | Assembler file |         74 |          0 |         14 |         88 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/elftest.c                                          | C              |         22 |          7 |         10 |         39 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/elftest64.c                                        | C              |         26 |          8 |         10 |         44 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/elif.asm                                           | Assembler file |         35 |          0 |          5 |         40 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/emptyarg.asm                                       | Assembler file |        128 |          0 |         20 |        148 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/evalmacro.asm                                      | Assembler file |         10 |          0 |          4 |         14 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/exitrep.asm                                        | Assembler file |         36 |          0 |          5 |         41 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/expimp.asm                                         | Assembler file |         79 |          0 |         12 |         91 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/far64.asm                                          | Assembler file |          9 |          0 |          2 |         11 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/fewsecs.asm                                        | Assembler file |          2 |          0 |          1 |          3 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/float.asm                                          | Assembler file |        211 |          0 |         10 |        221 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/float8.asm                                         | Assembler file |        130 |          0 |          6 |        136 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/floatb.asm                                         | Assembler file |         44 |          0 |         17 |         61 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/floatexp.asm                                       | Assembler file |        369 |          0 |         14 |        383 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/floatize.asm                                       | Assembler file |         17 |          0 |          3 |         20 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/floattest.asm                                      | Assembler file |         21 |          0 |          8 |         29 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/floatx.asm                                         | Assembler file |        509 |          0 |         17 |        526 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/fpu.asm                                            | Assembler file |        100 |          0 |         28 |        128 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/fwdopt.asm                                         | Assembler file |        132 |          0 |          2 |        134 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/fwdoptpp.asm                                       | Assembler file |        147 |          0 |          4 |        151 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/gas2nasm.py                                        | Python         |         78 |         10 |         17 |        105 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/gather.asm                                         | Assembler file |         10 |          0 |          2 |         12 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/gotoff64.asm                                       | Assembler file |         20 |          0 |          6 |         26 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/gsmacro.asm                                        | Assembler file |          5 |          0 |          2 |          7 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/hexfp.asm                                          | Assembler file |         22 |          0 |          4 |         26 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/hle.asm                                            | Assembler file |         15 |          0 |          5 |         20 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/ifdef.asm                                          | Assembler file |          6 |          0 |          2 |          8 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/ifelse.asm                                         | Assembler file |         41 |          0 |          6 |         47 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/ifenv.asm                                          | Assembler file |         26 |          0 |          6 |         32 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/ifmacro.asm                                        | Assembler file |        324 |          0 |         90 |        414 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/iftoken.asm                                        | Assembler file |        316 |          0 |          2 |        318 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/iftoken.pl                                         | Perl           |         27 |          1 |          5 |         33 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/ilog2.asm                                          | Assembler file |        263 |          0 |          9 |        272 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/imacro.asm                                         | Assembler file |          6 |          0 |          3 |          9 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/imm.asm                                            | Assembler file |         22 |          0 |          2 |         24 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/imm64.asm                                          | Assembler file |         52 |          0 |         10 |         62 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/immsize.asm                                        | Assembler file |         31 |          0 |          6 |         37 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/immwarn.asm                                        | Assembler file |         78 |          0 |         14 |         92 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/imul.asm                                           | Assembler file |        105 |          0 |         13 |        118 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/inc1.asm                                           | Assembler file |          4 |          0 |          3 |          7 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/inc2.asm                                           | Assembler file |          7 |          0 |          2 |          9 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/incbin.asm                                         | Assembler file |          6 |          0 |          2 |          8 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/include-self.asm                                   | Assembler file |          2 |          0 |          1 |          3 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/inctest.asm                                        | Assembler file |         11 |          0 |          5 |         16 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/insertps.asm                                       | Assembler file |          9 |          0 |          2 |         11 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/insnlbl.asm                                        | Assembler file |         10 |          0 |          3 |         13 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/invlpga.asm                                        | Assembler file |         10 |          0 |          2 |         12 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/istruc_local.asm                                   | Assembler file |         28 |          0 |         10 |         38 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/jmp64.asm                                          | Assembler file |         18 |          0 |          2 |         20 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/k_test.asm                                         | Assembler file |        110 |          0 |         30 |        140 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/lar_lsl.asm                                        | Assembler file |         94 |          0 |         31 |        125 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/larlsl.asm                                         | Assembler file |         20 |          0 |          4 |         24 |
| /home/copi143/代码/Plant-OS/apps/nasm-master/test/latevex.asm                                        | Assembler file |         50 |          0 |         22 |         72 |
